,Class,Age,Sex,Survived
1192,third,adult,female,no
1127,third,adult,female,yes
113,first,adult,male,no
1123,third,adult,female,yes
672,third,adult,male,yes
1715,crew,adult,male,no
82,first,adult,male,no
2177,crew,adult,male,no
1995,crew,adult,male,no
810,third,adult,male,no
1902,crew,adult,male,no
326,second,adult,male,yes
2192,crew,adult,female,yes
2174,crew,adult,male,no
1914,crew,adult,male,no
2032,crew,adult,male,no
1875,crew,adult,male,no
1150,third,adult,female,no
813,third,adult,male,no
686,third,adult,male,no
122,first,adult,male,no
1735,crew,adult,male,no
214,first,adult,female,yes
909,third,adult,male,no
1414,crew,adult,male,yes
880,third,adult,male,no
980,third,adult,male,no
1228,third,adult,female,no
1615,crew,adult,male,no
1771,crew,adult,male,no
298,first,adult,female,yes
52,first,adult,male,yes
1493,crew,adult,male,yes
923,third,adult,male,no
360,second,adult,male,no
1525,crew,adult,male,no
1211,third,adult,female,no
2068,crew,adult,male,no
159,first,adult,male,no
1292,third,child,female,yes
318,first,adult,female,no
989,third,adult,male,no
2002,crew,adult,male,no
558,second,adult,female,yes
190,first,adult,female,yes
806,third,adult,male,no
1431,crew,adult,male,yes
1222,third,adult,female,no
351,second,adult,male,no
2086,crew,adult,male,no
1848,crew,adult,male,no
1725,crew,adult,male,no
1424,crew,adult,male,yes
1595,crew,adult,male,no
1936,crew,adult,male,no
1135,third,adult,female,yes
1826,crew,adult,male,no
1994,crew,adult,male,no
479,second,adult,male,no
1628,crew,adult,male,no
820,third,adult,male,no
1683,crew,adult,male,no
1571,crew,adult,male,no
271,first,adult,female,yes
516,second,adult,female,yes
1752,crew,adult,male,no
1652,crew,adult,male,no
896,third,adult,male,no
962,third,adult,male,no
1486,crew,adult,male,yes
40,first,adult,male,yes
2133,crew,adult,male,no
4,first,adult,male,yes
204,first,adult,female,yes
408,second,adult,male,no
434,second,adult,male,no
1060,third,adult,male,no
219,first,adult,female,yes
726,third,adult,male,no
891,third,adult,male,no
272,first,adult,female,yes
1257,third,child,male,no
866,third,adult,male,no
1673,crew,adult,male,no
1784,crew,adult,male,no
735,third,adult,male,no
268,first,adult,female,yes
723,third,adult,male,no
481,second,adult,male,no
543,second,adult,female,yes
1501,crew,adult,male,yes
789,third,adult,male,no
1013,third,adult,male,no
1015,third,adult,male,no
1547,crew,adult,male,no
1360,crew,adult,male,yes
383,second,adult,male,no
1674,crew,adult,male,no
1052,third,adult,male,no
347,second,adult,male,no
2051,crew,adult,male,no
121,first,adult,male,no
658,third,adult,male,yes
590,second,child,male,yes
936,third,adult,male,no
1761,crew,adult,male,no
2048,crew,adult,male,no
1598,crew,adult,male,no
1357,crew,adult,male,yes
89,first,adult,male,no
1503,crew,adult,male,yes
1492,crew,adult,male,yes
1734,crew,adult,male,no
177,first,adult,female,yes
519,second,adult,female,yes
1295,third,child,female,yes
1124,third,adult,female,yes
1408,crew,adult,male,yes
1678,crew,adult,male,no
1757,crew,adult,male,no
987,third,adult,male,no
1451,crew,adult,male,yes
2128,crew,adult,male,no
974,third,adult,male,no
799,third,adult,male,no
1334,crew,adult,male,yes
2111,crew,adult,male,no
1749,crew,adult,male,no
1240,third,child,male,yes
171,first,adult,male,no
412,second,adult,male,no
2162,crew,adult,male,no
1952,crew,adult,male,no
1708,crew,adult,male,no
828,third,adult,male,no
270,first,adult,female,yes
416,second,adult,male,no
1866,crew,adult,male,no
1980,crew,adult,male,no
953,third,adult,male,no
1933,crew,adult,male,no
1668,crew,adult,male,no
1621,crew,adult,male,no
740,third,adult,male,no
2028,crew,adult,male,no
2061,crew,adult,male,no
930,third,adult,male,no
1038,third,adult,male,no
2121,crew,adult,male,no
312,first,adult,female,yes
823,third,adult,male,no
378,second,adult,male,no
878,third,adult,male,no
1819,crew,adult,male,no
154,first,adult,male,no
192,first,adult,female,yes
1509,crew,adult,male,no
1332,crew,adult,male,yes
473,second,adult,male,no
1665,crew,adult,male,no
1857,crew,adult,male,no
87,first,adult,male,no
1855,crew,adult,male,no
308,first,adult,female,yes
1878,crew,adult,male,no
1657,crew,adult,male,no
1729,crew,adult,male,no
1042,third,adult,male,no
381,second,adult,male,no
632,third,adult,male,yes
1707,crew,adult,male,no
842,third,adult,male,no
414,second,adult,male,no
1996,crew,adult,male,no
1569,crew,adult,male,no
818,third,adult,male,no
598,second,child,female,yes
897,third,adult,male,no
1849,crew,adult,male,no
2115,crew,adult,male,no
811,third,adult,male,no
1889,crew,adult,male,no
1291,third,child,female,yes
2173,crew,adult,male,no
1491,crew,adult,male,yes
198,first,adult,female,yes
1187,third,adult,female,no
982,third,adult,male,no
1832,crew,adult,male,no
142,first,adult,male,no
1260,third,child,male,no
1498,crew,adult,male,yes
196,first,adult,female,yes
2193,crew,adult,female,yes
315,first,adult,female,no
1570,crew,adult,male,no
759,third,adult,male,no
170,first,adult,male,no
840,third,adult,male,no
1411,crew,adult,male,yes
773,third,adult,male,no
1005,third,adult,male,no
1110,third,adult,female,yes
1299,third,child,female,no
22,first,adult,male,yes
574,second,adult,female,no
45,first,adult,male,yes
1128,third,adult,female,yes
467,second,adult,male,no
1926,crew,adult,male,no
1070,third,adult,male,no
1577,crew,adult,male,no
1376,crew,adult,male,yes
442,second,adult,male,no
1184,third,adult,female,no
319,first,child,male,yes
184,first,adult,female,yes
1114,third,adult,female,yes
921,third,adult,male,no
2047,crew,adult,male,no
996,third,adult,male,no
839,third,adult,male,no
961,third,adult,male,no
1670,crew,adult,male,no
744,third,adult,male,no
539,second,adult,female,yes
2118,crew,adult,male,no
618,third,adult,male,yes
801,third,adult,male,no
1728,crew,adult,male,no
1082,third,adult,female,yes
1203,third,adult,female,no
398,second,adult,male,no
210,first,adult,female,yes
991,third,adult,male,no
1550,crew,adult,male,no
917,third,adult,male,no
863,third,adult,male,no
963,third,adult,male,no
1166,third,adult,female,no
1103,third,adult,female,yes
203,first,adult,female,yes
108,first,adult,male,no
1036,third,adult,male,no
1349,crew,adult,male,yes
2,first,adult,male,yes
1811,crew,adult,male,no
2011,crew,adult,male,no
924,third,adult,male,no
875,third,adult,male,no
482,second,adult,male,no
895,third,adult,male,no
372,second,adult,male,no
576,second,adult,female,no
211,first,adult,female,yes
520,second,adult,female,yes
1213,third,adult,female,no
234,first,adult,female,yes
1772,crew,adult,male,no
1490,crew,adult,male,yes
900,third,adult,male,no
2117,crew,adult,male,no
933,third,adult,male,no
2138,crew,adult,male,no
2122,crew,adult,male,no
96,first,adult,male,no
1471,crew,adult,male,yes
178,first,adult,female,yes
620,third,adult,male,yes
927,third,adult,male,no
1836,crew,adult,male,no
665,third,adult,male,yes
1780,crew,adult,male,no
1817,crew,adult,male,no
513,second,adult,female,yes
71,first,adult,male,no
1915,crew,adult,male,no
581,second,adult,female,no
1467,crew,adult,male,yes
1273,third,child,male,no
483,second,adult,male,no
1613,crew,adult,male,no
1256,third,child,male,no
764,third,adult,male,no
456,second,adult,male,no
725,third,adult,male,no
68,first,adult,male,no
1691,crew,adult,male,no
1106,third,adult,female,yes
796,third,adult,male,no
881,third,adult,male,no
1055,third,adult,male,no
231,first,adult,female,yes
377,second,adult,male,no
1700,crew,adult,male,no
862,third,adult,male,no
432,second,adult,male,no
589,second,child,male,yes
1783,crew,adult,male,no
727,third,adult,male,no
1666,crew,adult,male,no
1534,crew,adult,male,no
411,second,adult,male,no
354,second,adult,male,no
567,second,adult,female,yes
1275,third,child,male,no
1368,crew,adult,male,yes
1456,crew,adult,male,yes
655,third,adult,male,yes
791,third,adult,male,no
1721,crew,adult,male,no
1642,crew,adult,male,no
224,first,adult,female,yes
814,third,adult,male,no
2116,crew,adult,male,no
218,first,adult,female,yes
16,first,adult,male,yes
1367,crew,adult,male,yes
367,second,adult,male,no
1968,crew,adult,male,no
1646,crew,adult,male,no
884,third,adult,male,no
295,first,adult,female,yes
364,second,adult,male,no
1912,crew,adult,male,no
2110,crew,adult,male,no
1047,third,adult,male,no
1096,third,adult,female,yes
914,third,adult,male,no
1427,crew,adult,male,yes
1583,crew,adult,male,no
1029,third,adult,male,no
1663,crew,adult,male,no
1146,third,adult,female,yes
1271,third,child,male,no
600,second,child,female,yes
775,third,adult,male,no
542,second,adult,female,yes
1975,crew,adult,male,no
677,third,adult,male,yes
406,second,adult,male,no
1043,third,adult,male,no
644,third,adult,male,yes
795,third,adult,male,no
1399,crew,adult,male,yes
552,second,adult,female,yes
362,second,adult,male,no
549,second,adult,female,yes
970,third,adult,male,no
42,first,adult,male,yes
1458,crew,adult,male,yes
940,third,adult,male,no
1741,crew,adult,male,no
1099,third,adult,female,yes
788,third,adult,male,no
1656,crew,adult,male,no
2137,crew,adult,male,no
1336,crew,adult,male,yes
1782,crew,adult,male,no
652,third,adult,male,yes
535,second,adult,female,yes
1354,crew,adult,male,yes
2104,crew,adult,male,no
2161,crew,adult,male,no
1050,third,adult,male,no
1993,crew,adult,male,no
2012,crew,adult,male,no
642,third,adult,male,yes
1484,crew,adult,male,yes
554,second,adult,female,yes
2079,crew,adult,male,no
693,third,adult,male,no
157,first,adult,male,no
1854,crew,adult,male,no
527,second,adult,female,yes
649,third,adult,male,yes
1948,crew,adult,male,no
309,first,adult,female,yes
1557,crew,adult,male,no
1023,third,adult,male,no
593,second,child,male,yes
1410,crew,adult,male,yes
1759,crew,adult,male,no
1170,third,adult,female,no
65,first,adult,male,no
1900,crew,adult,male,no
706,third,adult,male,no
1747,crew,adult,male,no
1549,crew,adult,male,no
1136,third,adult,female,yes
1391,crew,adult,male,yes
2170,crew,adult,male,no
778,third,adult,male,no
420,second,adult,male,no
2160,crew,adult,male,no
960,third,adult,male,no
1831,crew,adult,male,no
1132,third,adult,female,yes
500,second,adult,female,yes
1911,crew,adult,male,no
258,first,adult,female,yes
769,third,adult,male,no
13,first,adult,male,yes
1515,crew,adult,male,no
1554,crew,adult,male,no
114,first,adult,male,no
957,third,adult,male,no
2083,crew,adult,male,no
241,first,adult,female,yes
1892,crew,adult,male,no
679,third,adult,male,yes
2195,crew,adult,female,yes
56,first,adult,male,yes
435,second,adult,male,no
155,first,adult,male,no
2199,crew,adult,female,no
1827,crew,adult,male,no
60,first,adult,male,no
29,first,adult,male,yes
782,third,adult,male,no
35,first,adult,male,yes
2142,crew,adult,male,no
358,second,adult,male,no
1695,crew,adult,male,no
524,second,adult,female,yes
737,third,adult,male,no
2013,crew,adult,male,no
265,first,adult,female,yes
1119,third,adult,female,yes
1462,crew,adult,male,yes
1375,crew,adult,male,yes
1546,crew,adult,male,no
2182,crew,adult,female,yes
548,second,adult,female,yes
1476,crew,adult,male,yes
887,third,adult,male,no
2146,crew,adult,male,no
494,second,adult,female,yes
580,second,adult,female,no
1197,third,adult,female,no
2016,crew,adult,male,no
431,second,adult,male,no
1804,crew,adult,male,no
212,first,adult,female,yes
1380,crew,adult,male,yes
1064,third,adult,male,no
75,first,adult,male,no
1528,crew,adult,male,no
1753,crew,adult,male,no
1031,third,adult,male,no
1808,crew,adult,male,no
247,first,adult,female,yes
1659,crew,adult,male,no
186,first,adult,female,yes
668,third,adult,male,yes
1097,third,adult,female,yes
8,first,adult,male,yes
1651,crew,adult,male,no
1794,crew,adult,male,no
1505,crew,adult,male,yes
1280,third,child,male,no
1687,crew,adult,male,no
1743,crew,adult,male,no
445,second,adult,male,no
1756,crew,adult,male,no
464,second,adult,male,no
1909,crew,adult,male,no
2178,crew,adult,female,yes
999,third,adult,male,no
1448,crew,adult,male,yes
1460,crew,adult,male,yes
752,third,adult,male,no
533,second,adult,female,yes
243,first,adult,female,yes
401,second,adult,male,no
1511,crew,adult,male,no
244,first,adult,female,yes
1929,crew,adult,male,no
1886,crew,adult,male,no
450,second,adult,male,no
2171,crew,adult,male,no
285,first,adult,female,yes
471,second,adult,male,no
1227,third,adult,female,no
1487,crew,adult,male,yes
871,third,adult,male,no
1218,third,adult,female,no
611,third,adult,male,yes
426,second,adult,male,no
1190,third,adult,female,no
1014,third,adult,male,no
1126,third,adult,female,yes
1496,crew,adult,male,yes
1609,crew,adult,male,no
1164,third,adult,female,no
1481,crew,adult,male,yes
678,third,adult,male,yes
1044,third,adult,male,no
2165,crew,adult,male,no
943,third,adult,male,no
1065,third,adult,male,no
2183,crew,adult,female,yes
1254,third,child,male,no
49,first,adult,male,yes
540,second,adult,female,yes
110,first,adult,male,no
510,second,adult,female,yes
44,first,adult,male,yes
1115,third,adult,female,yes
1632,crew,adult,male,no
78,first,adult,male,no
269,first,adult,female,yes
1145,third,adult,female,yes
826,third,adult,male,no
313,first,adult,female,yes
1285,third,child,female,yes
911,third,adult,male,no
1824,crew,adult,male,no
338,second,adult,male,yes
466,second,adult,male,no
1979,crew,adult,male,no
363,second,adult,male,no
1327,crew,adult,male,yes
2062,crew,adult,male,no
1573,crew,adult,male,no
1094,third,adult,female,yes
1614,crew,adult,male,no
1034,third,adult,male,no
685,third,adult,male,no
1867,crew,adult,male,no
2090,crew,adult,male,no
83,first,adult,male,no
1358,crew,adult,male,yes
1088,third,adult,female,yes
1318,crew,adult,male,yes
2152,crew,adult,male,no
2026,crew,adult,male,no
1638,crew,adult,male,no
1382,crew,adult,male,yes
1185,third,adult,female,no
205,first,adult,female,yes
328,second,adult,male,yes
808,third,adult,male,no
1057,third,adult,male,no
1436,crew,adult,male,yes
528,second,adult,female,yes
656,third,adult,male,yes
2052,crew,adult,male,no
2088,crew,adult,male,no
858,third,adult,male,no
844,third,adult,male,no
1630,crew,adult,male,no
879,third,adult,male,no
1719,crew,adult,male,no
472,second,adult,male,no
2144,crew,adult,male,no
131,first,adult,male,no
1039,third,adult,male,no
439,second,adult,male,no
849,third,adult,male,no
2141,crew,adult,male,no
476,second,adult,male,no
904,third,adult,male,no
853,third,adult,male,no
1602,crew,adult,male,no
1989,crew,adult,male,no
1555,crew,adult,male,no
103,first,adult,male,no
1693,crew,adult,male,no
1084,third,adult,female,yes
784,third,adult,male,no
1277,third,child,male,no
969,third,adult,male,no
1559,crew,adult,male,no
165,first,adult,male,no
1928,crew,adult,male,no
907,third,adult,male,no
1430,crew,adult,male,yes
349,second,adult,male,no
371,second,adult,male,no
2077,crew,adult,male,no
1319,crew,adult,male,yes
507,second,adult,female,yes
1553,crew,adult,male,no
395,second,adult,male,no
625,third,adult,male,yes
695,third,adult,male,no
1793,crew,adult,male,no
761,third,adult,male,no
1303,third,child,female,no
263,first,adult,female,yes
2089,crew,adult,male,no
846,third,adult,male,no
783,third,adult,male,no
2004,crew,adult,male,no
2043,crew,adult,male,no
2157,crew,adult,male,no
771,third,adult,male,no
1927,crew,adult,male,no
51,first,adult,male,yes
1833,crew,adult,male,no
493,second,adult,female,yes
601,second,child,female,yes
2151,crew,adult,male,no
1455,crew,adult,male,yes
1121,third,adult,female,yes
993,third,adult,male,no
1035,third,adult,male,no
1385,crew,adult,male,yes
238,first,adult,female,yes
97,first,adult,male,no
779,third,adult,male,no
111,first,adult,male,no
1220,third,adult,female,no
183,first,adult,female,yes
2070,crew,adult,male,no
613,third,adult,male,yes
1361,crew,adult,male,yes
2074,crew,adult,male,no
2200,crew,adult,female,no
81,first,adult,male,no
484,second,adult,male,no
397,second,adult,male,no
1748,crew,adult,male,no
1839,crew,adult,male,no
1680,crew,adult,male,no
1676,crew,adult,male,no
88,first,adult,male,no
38,first,adult,male,yes
1265,third,child,male,no
1321,crew,adult,male,yes
571,second,adult,female,yes
1851,crew,adult,male,no
1401,crew,adult,male,yes
934,third,adult,male,no
261,first,adult,female,yes
1964,crew,adult,male,no
599,second,child,female,yes
356,second,adult,male,no
608,second,child,female,yes
1584,crew,adult,male,no
239,first,adult,female,yes
1223,third,adult,female,no
1362,crew,adult,male,yes
1689,crew,adult,male,no
119,first,adult,male,no
1523,crew,adult,male,no
1343,crew,adult,male,yes
751,third,adult,male,no
1449,crew,adult,male,yes
374,second,adult,male,no
2082,crew,adult,male,no
1067,third,adult,male,no
1125,third,adult,female,yes
1879,crew,adult,male,no
1296,third,child,female,yes
1158,third,adult,female,no
729,third,adult,male,no
410,second,adult,male,no
1883,crew,adult,male,no
1982,crew,adult,male,no
1224,third,adult,female,no
1089,third,adult,female,yes
1976,crew,adult,male,no
1191,third,adult,female,no
867,third,adult,male,no
2060,crew,adult,male,no
382,second,adult,male,no
1649,crew,adult,male,no
1639,crew,adult,male,no
541,second,adult,female,yes
1495,crew,adult,male,yes
1845,crew,adult,male,no
2136,crew,adult,male,no
1821,crew,adult,male,no
188,first,adult,female,yes
681,third,adult,male,yes
1274,third,child,male,no
1366,crew,adult,male,yes
316,first,adult,female,no
1238,third,child,male,yes
123,first,adult,male,no
1658,crew,adult,male,no
874,third,adult,male,no
660,third,adult,male,yes
531,second,adult,female,yes
255,first,adult,female,yes
1054,third,adult,male,no
662,third,adult,male,yes
1825,crew,adult,male,no
230,first,adult,female,yes
901,third,adult,male,no
1521,crew,adult,male,no
1958,crew,adult,male,no
1585,crew,adult,male,no
380,second,adult,male,no
1544,crew,adult,male,no
864,third,adult,male,no
1288,third,child,female,yes
787,third,adult,male,no
101,first,adult,male,no
1830,crew,adult,male,no
1859,crew,adult,male,no
1477,crew,adult,male,yes
1473,crew,adult,male,yes
1608,crew,adult,male,no
877,third,adult,male,no
1704,crew,adult,male,no
675,third,adult,male,yes
566,second,adult,female,yes
1998,crew,adult,male,no
1478,crew,adult,male,yes
798,third,adult,male,no
523,second,adult,female,yes
626,third,adult,male,yes
495,second,adult,female,yes
1606,crew,adult,male,no
158,first,adult,male,no
790,third,adult,male,no
1965,crew,adult,male,no
1790,crew,adult,male,no
366,second,adult,male,no
1364,crew,adult,male,yes
228,first,adult,female,yes
912,third,adult,male,no
417,second,adult,male,no
1230,third,adult,female,no
742,third,adult,male,no
79,first,adult,male,no
1214,third,adult,female,no
492,second,adult,male,no
1169,third,adult,female,no
2139,crew,adult,male,no
1917,crew,adult,male,no
1342,crew,adult,male,yes
824,third,adult,male,no
1625,crew,adult,male,no
1504,crew,adult,male,yes
1168,third,adult,female,no
1978,crew,adult,male,no
1885,crew,adult,male,no
1654,crew,adult,male,no
1024,third,adult,male,no
413,second,adult,male,no
592,second,child,male,yes
2107,crew,adult,male,no
1529,crew,adult,male,no
1943,crew,adult,male,no
1178,third,adult,female,no
1655,crew,adult,male,no
1372,crew,adult,male,yes
127,first,adult,male,no
1713,crew,adult,male,no
1775,crew,adult,male,no
1717,crew,adult,male,no
403,second,adult,male,no
150,first,adult,male,no
346,second,adult,male,no
1932,crew,adult,male,no
394,second,adult,male,no
62,first,adult,male,no
1519,crew,adult,male,no
208,first,adult,female,yes
496,second,adult,female,yes
352,second,adult,male,no
95,first,adult,male,no
1061,third,adult,male,no
959,third,adult,male,no
143,first,adult,male,no
1182,third,adult,female,no
1648,crew,adult,male,no
1820,crew,adult,male,no
1237,third,child,male,yes
1439,crew,adult,male,yes
236,first,adult,female,yes
222,first,adult,female,yes
2069,crew,adult,male,no
345,second,adult,male,no
120,first,adult,male,no
588,second,child,male,yes
559,second,adult,female,yes
332,second,adult,male,yes
1086,third,adult,female,yes
2065,crew,adult,male,no
193,first,adult,female,yes
235,first,adult,female,yes
181,first,adult,female,yes
1922,crew,adult,male,no
389,second,adult,male,no
968,third,adult,male,no
1593,crew,adult,male,no
669,third,adult,male,yes
2044,crew,adult,male,no
1485,crew,adult,male,yes
1682,crew,adult,male,no
370,second,adult,male,no
1406,crew,adult,male,yes
2007,crew,adult,male,no
1394,crew,adult,male,yes
331,second,adult,male,yes
614,third,adult,male,yes
1286,third,child,female,yes
1030,third,adult,male,no
266,first,adult,female,yes
1062,third,adult,male,no
2172,crew,adult,male,no
545,second,adult,female,yes
1142,third,adult,female,yes
1474,crew,adult,male,yes
105,first,adult,male,no
2197,crew,adult,female,yes
128,first,adult,male,no
630,third,adult,male,yes
683,third,adult,male,yes
20,first,adult,male,yes
870,third,adult,male,no
242,first,adult,female,yes
50,first,adult,male,yes
1186,third,adult,female,no
915,third,adult,male,no
441,second,adult,male,no
707,third,adult,male,no
2084,crew,adult,male,no
2190,crew,adult,female,yes
822,third,adult,male,no
301,first,adult,female,yes
172,first,adult,male,no
284,first,adult,female,yes
1258,third,child,male,no
920,third,adult,male,no
1433,crew,adult,male,yes
1758,crew,adult,male,no
734,third,adult,male,no
1234,third,adult,female,no
344,second,adult,male,no
306,first,adult,female,yes
2040,crew,adult,male,no
2181,crew,adult,female,yes
922,third,adult,male,no
2055,crew,adult,male,no
1402,crew,adult,male,yes
2073,crew,adult,male,no
167,first,adult,male,no
421,second,adult,male,no
225,first,adult,female,yes
12,first,adult,male,yes
1789,crew,adult,male,no
1092,third,adult,female,yes
90,first,adult,male,no
1809,crew,adult,male,no
1959,crew,adult,male,no
1404,crew,adult,male,yes
857,third,adult,male,no
2021,crew,adult,male,no
1396,crew,adult,male,yes
1282,third,child,male,no
2018,crew,adult,male,no
304,first,adult,female,yes
2145,crew,adult,male,no
1852,crew,adult,male,no
2091,crew,adult,male,no
28,first,adult,male,yes
1066,third,adult,male,no
1232,third,adult,female,no
2159,crew,adult,male,no
490,second,adult,male,no
74,first,adult,male,no
515,second,adult,female,yes
1309,third,child,female,no
1869,crew,adult,male,no
1095,third,adult,female,yes
561,second,adult,female,yes
179,first,adult,female,yes
109,first,adult,male,no
116,first,adult,male,no
293,first,adult,female,yes
1100,third,adult,female,yes
1072,third,adult,female,yes
643,third,adult,male,yes
772,third,adult,male,no
1969,crew,adult,male,no
1842,crew,adult,male,no
1356,crew,adult,male,yes
622,third,adult,male,yes
1935,crew,adult,male,no
1939,crew,adult,male,no
409,second,adult,male,no
636,third,adult,male,yes
115,first,adult,male,no
288,first,adult,female,yes
886,third,adult,male,no
1181,third,adult,female,no
337,second,adult,male,yes
1727,crew,adult,male,no
2149,crew,adult,male,no
1012,third,adult,male,no
1520,crew,adult,male,no
46,first,adult,male,yes
747,third,adult,male,no
2067,crew,adult,male,no
753,third,adult,male,no
462,second,adult,male,no
673,third,adult,male,yes
1539,crew,adult,male,no
1463,crew,adult,male,yes
1201,third,adult,female,no
2167,crew,adult,male,no
424,second,adult,male,no
325,second,adult,male,yes
664,third,adult,male,yes
350,second,adult,male,no
447,second,adult,male,no
1601,crew,adult,male,no
1041,third,adult,male,no
1221,third,adult,female,no
1688,crew,adult,male,no
1149,third,adult,female,no
387,second,adult,male,no
1369,crew,adult,male,yes
2049,crew,adult,male,no
1337,crew,adult,male,yes
754,third,adult,male,no
138,first,adult,male,no
451,second,adult,male,no
1194,third,adult,female,no
699,third,adult,male,no
1157,third,adult,female,no
2014,crew,adult,male,no
830,third,adult,male,no
1102,third,adult,female,yes
950,third,adult,male,no
1019,third,adult,male,no
1872,crew,adult,male,no
1370,crew,adult,male,yes
396,second,adult,male,no
1413,crew,adult,male,yes
1409,crew,adult,male,yes
1143,third,adult,female,yes
1870,crew,adult,male,no
1177,third,adult,female,no
1816,crew,adult,male,no
1253,third,child,male,no
2015,crew,adult,male,no
21,first,adult,male,yes
1305,third,child,female,no
766,third,adult,male,no
392,second,adult,male,no
250,first,adult,female,yes
1267,third,child,male,no
1770,crew,adult,male,no
1059,third,adult,male,no
671,third,adult,male,yes
2072,crew,adult,male,no
