,Produit,NumTicket
120,chickpea,33
121,garlic,33
122,yogurt,33
123,vegetable_oil,33
124,chicken,33
125,bread,33
126,butter,34
127,tomato,34
128,green_bell_pepper,34
129,wheat,34
130,onion,34
131,tabasco_pepper,34
132,black_pepper,34
133,butter,35
134,pork,35
135,wheat,35
136,onion,35
137,mushroom,35
138,almond,35
139,bacon,35
140,vinegar,37
141,pepper,37
142,sesame_oil,37
143,beef,37
144,sake,37
145,soy_sauce,37
146,scallion,37
147,cane_molasses,38
148,wheat,38
149,yeast,38
150,ginger,38
151,nutmeg,38
152,cinnamon,38
153,pumpkin,38
154,olive_oil,41
155,pepper,41
156,fish,41
157,ginger,41
158,scallion,41
159,garlic,41
160,soy_sauce,41
161,tomato,42
162,beef,42
163,onion,42
164,mushroom,42
165,egg_noodle,42
166,black_pepper,42
167,scallion,42
168,butter,43
169,olive_oil,43
170,onion,43
171,red_wine,43
172,black_pepper,43
173,bell_pepper,43
174,basil,43
175,pepper,44
176,mushroom,44
177,thyme,44
178,potato,44
179,rosemary,44
180,salmon,44
181,scallion,44
182,butter,45
183,coriander,45
184,coconut,45
185,onion,45
186,fenugreek,45
187,soy_sauce,45
188,starch,45
189,butter,46
190,tomato,46
191,cane_molasses,46
192,wheat,46
193,celery_oil,46
194,onion,46
195,vinegar,46
196,tomato,48
197,olive_oil,48
198,wheat,48
199,onion,48
200,vinegar,48
201,black_pepper,48
202,bell_pepper,48
203,cheese,49
204,black_pepper,49
205,port_wine,49
206,honey,49
207,pecan,49
208,cream_cheese,49
209,chive,49
210,cane_molasses,50
211,lemon_juice,50
212,wheat,50
213,apple,50
214,yeast,50
215,honey,50
216,oat,50
217,olive_oil,51
218,pepper,51
219,onion,51
220,vinegar,51
221,soy_sauce,51
222,black_pepper,51
223,pork,51
224,butter,52
225,coconut,52
226,wheat,52
227,starch,52
228,almond,52
229,cocoa,52
230,egg,52
231,cane_molasses,53
232,vinegar,53
233,thyme,53
234,onion,53
235,black_pepper,53
236,white_wine,53
237,mustard,53
238,tomato,55
239,vinegar,55
240,onion,55
241,beef,55
242,cayenne,55
243,black_pepper,55
244,garlic,55
245,tomato,56
246,vinegar,56
247,cane_molasses,56
248,lemon_juice,56
249,celery_oil,56
250,onion,56
251,corn,56
252,onion,57
253,black_pepper,57
254,squash,57
255,ginger,57
256,garlic,57
257,sweet_potato,57
258,yogurt,57
259,tomato,58
260,cane_molasses,58
261,pepper,58
262,lemon_juice,58
263,wheat,58
264,onion,58
265,vinegar,58
266,lemon_juice,59
267,lemon,59
268,mustard,59
269,onion,59
270,parsley,59
271,cucumber,59
272,chive,59
273,tomato,60
274,vinegar,60
275,pepper,60
276,mustard,60
277,onion,60
278,sake,60
279,soy_sauce,60
280,pork,61
281,onion,61
282,black_bean,61
283,chicken_broth,61
284,pepper,61
285,bay,61
286,garlic,61
287,berry,62
288,wheat,62
289,vanilla,62
290,maple_syrup,62
291,cinnamon,62
292,yogurt,62
293,egg,62
294,butter,63
295,pepper,63
296,wheat,63
297,mustard,63
298,mushroom,63
299,swiss_cheese,63
300,lobster,63
301,pepper,64
302,wheat,64
303,onion,64
304,bay,64
305,celery,64
306,chicken,64
307,egg,64
308,butter,65
309,asparagus,65
310,black_pepper,65
311,parmesan_cheese,65
312,lettuce,65
313,vegetable_oil,65
314,egg,65
315,vinegar,66
316,wheat,66
317,mustard,66
318,onion,66
319,seed,66
320,cucumber,66
321,turmeric,66
322,cheese,69
323,wheat,69
324,yeast,69
325,tabasco_pepper,69
326,black_pepper,69
327,parmesan_cheese,69
328,scallion,69
329,butter,70
330,pepper,70
331,chicken_liver,70
332,onion,70
333,bacon,70
334,garlic,70
335,veal,70
336,vinegar,72
337,sesame_oil,72
338,starch,72
339,chicken_broth,72
340,black_pepper,72
341,ginger,72
342,scallion,72
343,tomato,73
344,onion,73
345,beef,73
346,black_pepper,73
347,buttermilk,73
348,garlic,73
349,oregano,73
350,vinegar,74
351,cilantro,74
352,lemon_juice,74
353,onion,74
354,avocado,74
355,pepper,74
356,honey,74
357,butter,75
358,pepper,75
359,wheat,75
360,onion,75
361,tarragon,75
362,parmesan_cheese,75
363,white_wine,75
364,grape,79
365,orange_juice,79
366,melon,79
367,fruit,79
368,pineapple,79
369,yogurt,79
370,papaya,79
371,butter,80
372,cane_molasses,80
373,wheat,80
374,vanilla,80
375,orange_juice,80
376,raisin,80
377,oat,80
378,tomato,81
379,vinegar,81
380,pepper,81
381,onion,81
382,beef,81
383,corn,81
384,cane_molasses,81
385,butter,82
386,cane_molasses,82
387,wheat,82
388,yeast,82
389,corn,82
390,ginger,82
391,milk,82
392,butter,83
393,wheat,83
394,onion,83
395,potato,83
396,black_pepper,83
397,parsley,83
398,bay,83
399,butter,84
400,wheat,84
401,peach,84
402,vanilla,84
403,almond,84
404,pecan,84
405,cinnamon,84
406,tomato,85
407,olive_oil,85
408,cane_molasses,85
409,lemon_juice,85
410,wheat,85
411,thyme,85
412,onion,85
413,cane_molasses,86
414,olive_oil,86
415,pepper,86
416,grape_juice,86
417,mustard,86
418,onion,86
419,vinegar,86
420,butter,87
421,wheat,87
422,mustard,87
423,onion,87
424,raisin,87
425,parsley,87
426,cucumber,87
427,butter,88
428,cane_molasses,88
429,coconut,88
430,wheat,88
431,cherry,88
432,walnut,88
433,milk,88
434,butter,90
435,cheese,90
436,pepper,90
437,parmesan_cheese,90
438,garlic,90
439,bell_pepper,90
440,blue_cheese,90
441,sesame_oil,91
442,peanut,91
443,soy_sauce,91
444,cayenne,91
445,ginger,91
446,carrot,91
447,garlic,91
448,butter,92
449,coffee,92
450,wheat,92
451,starch,92
452,vanilla,92
453,cocoa,92
454,vegetable_oil,92
455,vinegar,93
456,beef,93
457,starch,93
458,soy_sauce,93
459,orange_juice,93
460,ginger,93
461,garlic,93
462,vinegar,94
463,mustard,94
464,onion,94
465,starch,94
466,vanilla,94
467,parsley,94
468,cocoa,94
469,tomato,97
470,cane_molasses,97
471,ham,97
472,onion,97
473,potato,97
474,black_pepper,97
475,vinegar,97
476,onion,98
477,bacon,98
478,tabasco_pepper,98
479,black_pepper,98
480,cheddar_cheese,98
481,egg,98
482,milk,98
483,butter,100
484,coriander,100
485,pepper,100
486,onion,100
487,fenugreek,100
488,cumin,100
489,mango,100
490,onion,102
491,beef,102
492,starch,102
493,soy_sauce,102
494,black_pepper,102
495,mozzarella_cheese,102
496,vegetable_oil,102
497,olive_oil,103
498,almond,103
499,vinegar,103
500,red_wine,103
501,bacon,103
502,garlic,103
503,blue_cheese,103
504,butter,104
505,marjoram,104
506,wheat,104
507,onion,104
508,potato,104
509,parsley,104
510,chicken,104
511,wheat,110
512,apple,110
513,yeast,110
514,rhubarb,110
515,blackberry,110
516,raspberry,110
517,egg,110
518,tomato,111
519,cheese,111
520,wheat,111
521,onion,111
522,black_bean,111
523,cayenne,111
524,cumin,111
525,tomato,112
526,cane_molasses,112
527,clam,112
528,onion,112
529,beef,112
530,vinegar,112
531,tabasco_pepper,112
532,cane_molasses,115
533,butter,115
534,coconut,115
535,corn,115
536,raisin,115
537,cocoa,115
538,oat,115
539,olive_oil,116
540,soybean,116
541,chicken,116
542,milk,116
543,whole_grain_wheat_flour,116
544,yeast,116
545,parsley,116
546,grape_juice,117
547,cream,117
548,vanilla,117
549,blueberry,117
550,strawberry,117
551,berry,117
552,blackberry,117
553,butter,118
554,olive_oil,118
555,wheat,118
556,black_pepper,118
557,garlic,118
558,nutmeg,118
559,milk,118
560,pork,119
561,wheat,119
562,beef,119
563,potato,119
564,black_pepper,119
565,nutmeg,119
566,egg,119
567,cane_molasses,120
568,vinegar,120
569,pepper,120
570,wheat,120
571,beef,120
572,onion,120
573,potato,120
574,wheat,121
575,onion,121
576,yeast,121
577,bacon,121
578,black_pepper,121
579,nutmeg,121
580,egg,121
581,cane_molasses,123
582,wheat,123
583,vanilla,123
584,raisin,123
585,buttermilk,123
586,vegetable_oil,123
587,egg,123
588,butter,126
589,pepper,126
590,wheat,126
591,corn,126
592,soy_sauce,126
593,parsley,126
594,scallion,126
595,pork,127
596,wheat,127
597,sesame_oil,127
598,starch,127
599,soy_sauce,127
600,yeast,127
601,scallion,127
602,vinegar,128
603,green_bell_pepper,128
604,onion,128
605,dill,128
606,chicken_broth,128
607,potato,128
608,black_pepper,128
609,tomato,129
610,beef,129
611,onion,129
612,parmesan_cheese,129
613,macaroni,129
614,oregano,129
615,mozzarella_cheese,129
616,olive_oil,130
617,mushroom,130
618,shallot,130
619,bacon,130
620,chicken_broth,130
621,black_pepper,130
622,parmesan_cheese,130
623,butter,131
624,wheat,131
625,vanilla,131
626,cayenne,131
627,cocoa,131
628,egg,131
629,milk,131
630,turkey,133
631,marjoram,133
632,wheat,133
633,thyme,133
634,black_pepper,133
635,sage,133
636,celery,133
637,tomato,137
638,tabasco_pepper,137
639,black_pepper,137
640,garlic,137
641,cream_cheese,137
642,basil,137
643,vegetable_oil,137
644,tomato,138
645,vinegar,138
646,celery_oil,138
647,beef,138
648,corn,138
649,black_pepper,138
650,garlic,138
651,lamb,140
652,olive_oil,140
653,pepper,140
654,thyme,140
655,nut,140
656,sage,140
657,macaroni,140
658,tomato,145
659,olive_oil,145
660,pepper,145
661,wheat,145
662,onion,145
663,thyme,145
664,cheese,145
665,dill,146
666,lemon_juice,146
667,corn_flake,146
668,black_pepper,146
669,garlic,146
670,vegetable_oil,146
671,chicken,146
672,butter,147
673,tomato,147
674,pepper,147
675,onion,147
676,thyme,147
677,potato,147
678,chicken_broth,147
679,cane_molasses,148
680,butter,148
681,wheat,148
682,apple,148
683,yeast,148
684,oat,148
685,milk,148
686,butter,149
687,lemon_juice,149
688,wheat,149
689,ginger,149
690,buttermilk,149
691,brandy,149
692,bitter_orange,149
693,coriander,150
694,olive_oil,150
695,pepper,150
696,onion,150
697,fenugreek,150
698,cumin,150
699,celery,150
700,tomato,151
701,pepper,151
702,green_bell_pepper,151
703,mushroom,151
704,onion,151
705,beef,151
706,thyme,151
707,pork,152
708,wheat,152
709,onion,152
710,yeast,152
711,black_pepper,152
712,starch,152
713,bacon,152
714,butter,154
715,wheat,154
716,corn,154
717,almond,154
718,milk,154
719,cocoa,154
720,egg,154
721,butter,155
722,wheat,155
723,starch,155
724,black_pepper,155
725,beer,155
726,garlic,155
727,cod,155
728,tomato,158
729,olive_oil,158
730,pepper,158
731,lemon_juice,158
732,onion,158
733,cayenne,158
734,cumin,158
735,butter,160
736,coconut,160
737,wheat,160
738,walnut,160
739,cocoa,160
740,gelatin,160
741,milk,160
742,cane_molasses,161
743,butter,161
744,wheat,161
745,apple,161
746,vanilla,161
747,raisin,161
748,squash,161
749,tomato,163
750,vinegar,163
751,celery_oil,163
752,starch,163
753,soy_sauce,163
754,garlic,163
755,corn,163
756,tomato,165
757,dill,165
758,green_bell_pepper,165
759,mushroom,165
760,onion,165
761,vinegar,165
762,parsley,165
763,cane_molasses,167
764,butter,167
765,wheat,167
766,vanilla,167
767,cocoa,167
768,oat,167
769,egg,167
770,butter,168
771,cane_molasses,168
772,wheat,168
773,onion,168
774,vinegar,168
775,chicken_broth,168
776,cayenne,168
777,lemon_juice,169
778,onion,169
779,nut,169
780,cayenne,169
781,cumin,169
782,parsley,169
783,celery,169
784,olive_oil,172
785,mushroom,172
786,onion,172
787,thyme,172
788,black_pepper,172
789,parmesan_cheese,172
790,milk,172
791,tomato,173
792,olive_oil,173
793,onion,173
794,cheese,173
795,chicken_broth,173
796,parsley,173
797,parmesan_cheese,173
798,cane_molasses,174
799,caraway,174
800,wheat,174
801,yeast,174
802,raisin,174
803,seed,174
804,lard,174
805,coriander,175
806,fenugreek,175
807,pepper,175
808,lemon_juice,175
809,wheat,175
810,cumin,175
811,scallion,175
812,olive_oil,176
813,pork,176
814,lemon_juice,176
815,beef,176
816,marjoram,176
817,garlic,176
818,bell_pepper,176
819,wheat,180
820,vanilla,180
821,walnut,180
822,buttermilk,180
823,cinnamon,180
824,vegetable_oil,180
825,egg,180
826,olive_oil,181
827,pepper,181
828,lemon_juice,181
829,beef,181
830,cayenne,181
831,soy_sauce,181
832,orange_juice,181
833,butter,182
834,olive_oil,182
835,pepper,182
836,onion,182
837,cayenne,182
838,cumin,182
839,celery,182
840,cream_cheese,183
841,thyme,183
842,egg,183
843,black_pepper,183
844,parmesan_cheese,183
845,garlic,183
846,bell_pepper,183
847,cilantro,185
848,cream,185
849,sesame_oil,185
850,onion,185
851,sake,185
852,lime_juice,185
853,soy_sauce,185
854,cane_molasses,186
855,butter,186
856,wheat,186
857,cocoa,186
858,oat,186
859,hazelnut,186
860,vegetable_oil,186
861,olive_oil,188
862,pepper,188
863,lemon_juice,188
864,feta_cheese,188
865,bacon,188
866,garlic,188
867,oregano,188
868,cane_molasses,189
869,butter,189
870,lemon,189
871,rum,189
872,vanilla,189
873,cider,189
874,cinnamon,189
875,coriander,191
876,olive_oil,191
877,pepper,191
878,onion,191
879,fenugreek,191
880,cumin,191
881,garlic,191
882,butter,194
883,tomato,194
884,cilantro,194
885,onion,194
886,black_bean,194
887,cayenne,194
888,cumin,194
889,tomato,195
890,olive_oil,195
891,pepper,195
892,thyme,195
893,onion,195
894,fennel,195
895,garlic,195
896,tomato,196
897,cilantro,196
898,onion,196
899,avocado,196
900,corn,196
901,cayenne,196
902,cumin,196
903,mushroom,197
904,onion,197
905,cottage_cheese,197
906,pecan,197
907,vegetable_oil,197
908,cheddar_cheese,197
909,egg,197
910,pork,198
911,wheat,198
912,onion,198
913,yeast,198
914,sage,198
915,egg,198
916,milk,198
917,butter,199
918,wheat,199
919,apple,199
920,corn_flake,199
921,almond,199
922,cinnamon,199
923,egg,199
924,butter,200
925,pepper,200
926,wheat,200
927,brussels_sprout,200
928,cucumber,200
929,chicken,200
930,milk,200
931,cane_molasses,201
932,butter,201
933,lemon_juice,201
934,wheat,201
935,cherry,201
936,cinnamon,201
937,cream_cheese,201
938,tomato,203
939,cheese,203
940,onion,203
941,vinegar,203
942,black_pepper,203
943,parmesan_cheese,203
944,macaroni,203
945,pepper,206
946,wheat,206
947,buttermilk,206
948,yeast,206
949,potato_chip,206
950,vegetable_oil,206
951,olive,206
952,cane_molasses,207
953,butter,207
954,wheat,207
955,apple,207
956,vanilla,207
957,walnut,207
958,cinnamon,207
959,butter,209
960,wheat,209
961,parmesan_cheese,209
962,macaroni,209
963,bell_pepper,209
964,cheddar_cheese,209
965,milk,209
966,onion,211
967,parmesan_cheese,211
968,white_wine,211
969,fennel,211
970,garlic,211
971,bell_pepper,211
972,macaroni,211
973,tomato,212
974,vinegar,212
975,celery_oil,212
976,beef,212
977,corn,212
978,cayenne,212
979,milk,212
980,butter,214
981,cane_molasses,214
982,coffee,214
983,wheat,214
984,vanilla,214
985,cocoa,214
986,pecan,214
987,tomato,215
988,olive_oil,215
989,cilantro,215
990,onion,215
991,black_bean,215
992,cayenne,215
993,cumin,215
994,tomato,216
995,olive_oil,216
996,pepper,216
997,wheat,216
998,mustard,216
999,vinegar,216
1000,feta_cheese,216
1001,butter,219
1002,lemon,219
1003,vanilla,219
1004,gelatin,219
1005,cinnamon,219
1006,cream_cheese,219
1007,wheat,219
1008,vinegar,220
1009,grape_juice,220
1010,mustard,220
1011,tarragon,220
1012,olive_oil,220
1013,almond,220
1014,black_pepper,220
1015,tomato,221
1016,dill,221
1017,lemon_juice,221
1018,potato,221
1019,cayenne,221
1020,black_pepper,221
1021,scallion,221
1022,pepper,222
1023,green_bell_pepper,222
1024,bean,222
1025,mushroom,222
1026,cauliflower,222
1027,potato,222
1028,chicken_broth,222
1029,tomato,225
1030,green_bell_pepper,225
1031,onion,225
1032,fish,225
1033,black_pepper,225
1034,bell_pepper,225
1035,cheddar_cheese,225
1036,butter,226
1037,pepper,226
1038,clam,226
1039,wheat,226
1040,onion,226
1041,thyme,226
1042,potato,226
1043,butter,227
1044,wheat,227
1045,apple,227
1046,yeast,227
1047,cinnamon,227
1048,egg,227
1049,milk,227
1050,pepper,228
1051,wheat,228
1052,mustard,228
1053,thyme,228
1054,red_wine,228
1055,garlic,228
1056,oyster,228
1057,cane_molasses,229
1058,vinegar,229
1059,pepper,229
1060,beef,229
1061,onion,229
1062,fenugreek,229
1063,cumin,229
1064,cane_molasses,230
1065,vinegar,230
1066,rice,230
1067,sesame_oil,230
1068,onion,230
1069,starch,230
1070,soy_sauce,230
1071,tomato,231
1072,vinegar,231
1073,papaya,231
1074,mustard,231
1075,onion,231
1076,red_wine,231
1077,scallion,231
1078,tomato,232
1079,olive_oil,232
1080,green_bell_pepper,232
1081,celery_oil,232
1082,mushroom,232
1083,vinegar,232
1084,corn,232
1085,butter,233
1086,vinegar,233
1087,wheat,233
1088,mustard,233
1089,black_pepper,233
1090,vegetable_oil,233
1091,egg,233
1092,coriander,234
1093,fenugreek,234
1094,pepper,234
1095,mustard,234
1096,onion,234
1097,olive_oil,234
1098,soy_sauce,234
1099,butter,235
1100,tomato,235
1101,cane_molasses,235
1102,wheat,235
1103,beef,235
1104,onion,235
1105,vinegar,235
1106,tomato,237
1107,onion,237
1108,cayenne,237
1109,parsley,237
1110,scallion,237
1111,carrot,237
1112,garlic,237
1113,coriander,238
1114,olive_oil,238
1115,pepper,238
1116,onion,238
1117,fenugreek,238
1118,cumin,238
1119,cilantro,238
1120,butter,239
1121,lemon,239
1122,vanilla,239
1123,gelatin,239
1124,cream_cheese,239
1125,wheat,239
1126,milk,239
1127,butter,242
1128,coconut,242
1129,wheat,242
1130,starch,242
1131,vanilla,242
1132,walnut,242
1133,cocoa,242
1134,butter,243
1135,coffee,243
1136,wheat,243
1137,vanilla,243
1138,cocoa,243
1139,buttermilk,243
1140,vegetable_oil,243
1141,tomato,244
1142,celery,244
1143,green_bell_pepper,244
1144,onion,244
1145,mushroom,244
1146,cayenne,244
1147,black_pepper,244
1148,wheat,245
1149,ham,245
1150,maple_syrup,245
1151,buttermilk,245
1152,cheddar_cheese,245
1153,egg,245
1154,milk,245
1155,butter,246
1156,coffee,246
1157,wheat,246
1158,vanilla,246
1159,cognac,246
1160,lard,246
1161,egg,246
1162,tomato,247
1163,vinegar,247
1164,pepper,247
1165,mustard,247
1166,onion,247
1167,plum,247
1168,chicken,247
1169,wheat,248
1170,thyme,248
1171,yeast,248
1172,corn,248
1173,carrot,248
1174,rye_flour,248
1175,vegetable_oil,248
1176,butter,249
1177,cane_molasses,249
1178,wheat,249
1179,vinegar,249
1180,tea,249
1181,cider,249
1182,walnut,249
1183,butter,250
1184,coriander,250
1185,pepper,250
1186,apple,250
1187,mushroom,250
1188,fenugreek,250
1189,black_pepper,250
1190,butter,251
1191,pepper,251
1192,lemon_juice,251
1193,parsley,251
1194,chive,251
1195,vegetable_oil,251
1196,chicken,251
1197,butter,254
1198,tomato,254
1199,cane_molasses,254
1200,wheat,254
1201,mustard,254
1202,onion,254
1203,vinegar,254
1204,butter,256
1205,cane_molasses,256
1206,wheat,256
1207,vanilla,256
1208,raisin,256
1209,oat,256
1210,cranberry,256
1211,wheat,258
1212,mustard,258
1213,onion,258
1214,yeast,258
1215,parsley,258
1216,cucumber,258
1217,chive,258
1218,butter,260
1219,wheat,260
1220,apple,260
1221,vanilla,260
1222,raisin,260
1223,walnut,260
1224,cinnamon,260
1225,cane_molasses,261
1226,olive_oil,261
1227,mushroom,261
1228,onion,261
1229,cheese,261
1230,black_pepper,261
1231,thyme,261
1232,butter,262
1233,wheat,262
1234,yeast,262
1235,starch,262
1236,milk,262
1237,egg,262
1238,blueberry,262
1239,tomato,263
1240,radish,263
1241,shrimp,263
1242,celery,263
1243,lettuce,263
1244,cucumber,263
1245,scallion,263
1246,cane_molasses,264
1247,vinegar,264
1248,onion,264
1249,cream_cheese,264
1250,vegetable_oil,264
1251,tamarind,264
1252,egg,264
1253,cane_molasses,265
1254,vinegar,265
1255,cream_cheese,265
1256,onion,265
1257,parmesan_cheese,265
1258,fennel,265
1259,garlic,265
1260,cheese,266
1261,beef,266
1262,black_pepper,266
1263,cayenne,266
1264,potato_chip,266
1265,basil,266
1266,zucchini,266
1267,vinegar,267
1268,wheat,267
1269,thyme,267
1270,beef,267
1271,cayenne,267
1272,black_pepper,267
1273,onion,267
1274,butter,271
1275,cane_molasses,271
1276,wheat,271
1277,vanilla,271
1278,cocoa,271
1279,oat,271
1280,egg,271
1281,butter,274
1282,lemon_juice,274
1283,wheat,274
1284,plum,274
1285,almond,274
1286,cinnamon,274
1287,egg,274
1288,pork,275
1289,soy_sauce,275
1290,orange_juice,275
1291,cayenne,275
1292,ginger,275
1293,garlic,275
1294,orange,275
1295,lemon_juice,276
1296,cream_cheese,276
1297,onion,276
1298,tabasco_pepper,276
1299,crab,276
1300,vegetable_oil,276
1301,egg,276
1302,tomato,279
1303,olive_oil,279
1304,pepper,279
1305,onion,279
1306,feta_cheese,279
1307,parmesan_cheese,279
1308,macaroni,279
1309,butter,283
1310,cane_molasses,283
1311,wheat,283
1312,vanilla,283
1313,raisin,283
1314,oat,283
1315,yogurt,283
1316,butter,284
1317,wheat,284
1318,yeast,284
1319,vanilla,284
1320,peppermint,284
1321,walnut,284
1322,cocoa,284
1323,cane_molasses,285
1324,peanut,285
1325,corn,285
1326,cocoa,285
1327,peanut_butter,285
1328,lard,285
1329,rice,285
1330,butter,286
1331,pepper,286
1332,onion,286
1333,potato,286
1334,carrot,286
1335,turnip,286
1336,milk,286
1337,peanut_oil,289
1338,pork,289
1339,chicken_broth,289
1340,onion,289
1341,soy_sauce,289
1342,cashew,289
1343,ginger,289
1344,cane_molasses,290
1345,butter,290
1346,coconut,290
1347,wheat,290
1348,vanilla,290
1349,walnut,290
1350,mandarin,290
1351,pepper,292
1352,onion,292
1353,sage,292
1354,cumin,292
1355,orange,292
1356,chicken,292
1357,lime,292
1358,butter,293
1359,coriander,293
1360,pepper,293
1361,apple,293
1362,mushroom,293
1363,fenugreek,293
1364,onion,293
1365,butter,294
1366,tomato,294
1367,pork,294
1368,lemon_juice,294
1369,celery_oil,294
1370,onion,294
1371,vinegar,294
1372,tomato,298
1373,beef,298
1374,onion,298
1375,black_pepper,298
1376,celery,298
1377,garlic,298
1378,rice,298
1379,cane_molasses,300
1380,vinegar,300
1381,lemon_juice,300
1382,beef,300
1383,onion,300
1384,potato,300
1385,corn,300
1386,tomato,302
1387,olive_oil,302
1388,pepper,302
1389,cheese,302
1390,feta_cheese,302
1391,bacon,302
1392,basil,302
1393,beef,303
1394,kale,303
1395,onion,303
1396,potato,303
1397,chicken_broth,303
1398,tabasco_pepper,303
1399,fennel,303
1400,butter,304
1401,cane_molasses,304
1402,wheat,304
1403,vanilla,304
1404,raisin,304
1405,walnut,304
1406,date,304
1407,peanut_oil,305
1408,cane_molasses,305
1409,vinegar,305
1410,fish,305
1411,cayenne,305
1412,ginger,305
1413,garlic,305
1414,dill,308
1415,green_bell_pepper,308
1416,onion,308
1417,vinegar,308
1418,raisin,308
1419,shrimp,308
1420,tomato_juice,308
1421,butter,309
1422,cane_molasses,309
1423,onion,309
1424,vinegar,309
1425,garlic,309
1426,cream_cheese,309
1427,pecan,309
1428,coriander,312
1429,black_mustard_seed_oil,312
1430,pepper,312
1431,fenugreek,312
1432,black_pepper,312
1433,cilantro,312
1434,cumin,312
1435,vinegar,313
1436,apple,313
1437,onion,313
1438,cider,313
1439,orange_juice,313
1440,pear,313
1441,cinnamon,313
1442,butter,314
1443,vinegar,314
1444,lemon_juice,314
1445,wheat,314
1446,apple,314
1447,cinnamon,314
1448,cheddar_cheese,314
1449,butter,316
1450,pork,316
1451,wheat,316
1452,onion,316
1453,potato,316
1454,black_pepper,316
1455,cinnamon,316
1456,butter,319
1457,wheat,319
1458,onion,319
1459,black_pepper,319
1460,carrot,319
1461,cheddar_cheese,319
1462,milk,319
1463,tomato,320
1464,pepper,320
1465,potato,320
1466,corn,320
1467,chicken,320
1468,pea,320
1469,cream,320
1470,olive_oil,326
1471,grape_juice,326
1472,wheat,326
1473,vinegar,326
1474,soy_sauce,326
1475,almond,326
1476,white_wine,326
1477,cheese,328
1478,onion,328
1479,potato,328
1480,chicken_broth,328
1481,black_pepper,328
1482,celery,328
1483,carrot,328
1484,celery_oil,329
1485,cayenne,329
1486,tomato,329
1487,chicken,329
1488,peanut,329
1489,soy_sauce,329
1490,lime_juice,329
1491,butter,330
1492,pepper,330
1493,green_bell_pepper,330
1494,wheat,330
1495,cauliflower,330
1496,onion,330
1497,potato,330
1498,lamb,332
1499,pepper,332
1500,onion,332
1501,potato,332
1502,parsley,332
1503,celery,332
1504,carrot,332
1505,cane_molasses,333
1506,butter,333
1507,wheat,333
1508,vanilla,333
1509,orange_juice,333
1510,raisin,333
1511,carrot,333
1512,pepper,334
1513,green_bell_pepper,334
1514,beef,334
1515,starch,334
1516,soy_sauce,334
1517,ginger,334
1518,scallion,334
1519,wheat,335
1520,ginger,335
1521,gelatin,335
1522,nutmeg,335
1523,cinnamon,335
1524,egg,335
1525,milk,335
1526,tomato,336
1527,kidney_bean,336
1528,onion,336
1529,corn,336
1530,cayenne,336
1531,celery,336
1532,garlic,336
1533,tomato,337
1534,vinegar,337
1535,cane_molasses,337
1536,wheat,337
1537,meat,337
1538,beef,337
1539,cheese,337
1540,cane_molasses,338
1541,vinegar,338
1542,pepper,338
1543,wheat,338
1544,beef,338
1545,mushroom,338
1546,starch,338
1547,kiwi,339
1548,pepper,339
1549,lemon_juice,339
1550,onion,339
1551,peach,339
1552,cayenne,339
1553,fruit,339
1554,butter,340
1555,wheat,340
1556,strawberry,340
1557,vanilla,340
1558,honey,340
1559,buttermilk,340
1560,egg,340
1561,butter,341
1562,onion,341
1563,corn,341
1564,parsley,341
1565,celery,341
1566,carrot,341
1567,cheddar_cheese,341
1568,cilantro,343
1569,onion,343
